Date,Route,Ridership
08/2019,33,17126
08/2019,34,22986
08/2019,36,64255
08/2019,37,66392
08/2019,38,
08/2019,51,43332
08/2019,52,7086
08/2019,53,98952
08/2019,54,187983
08/2019,56,129789
08/2019,57,8872
08/2019,59,31103
08/2019,62,67049
08/2019,63,63137
08/2019,65,36835
08/2019,67,21712
08/2019,69,42435
08/2019,70,54518
08/2019,71,41206
08/2019,73,41421
08/2019,75,40367
08/2019,76,75898
08/2019,77,43245
08/2019,78,109648
08/2019,79,41386
08/2019,80,187913
08/2019,81,52334
08/2019,82,34030
08/2019,83,91966
08/2019,85,129218
08/2019,87,44878
08/2019,89,49302
08/2019,91,19463
08/2019,92,2601
08/2019,93,37913
08/2019,94,42596
08/2019,95,13334
08/2019,103,8360
08/2019,104,464
08/2019,105,3822
08/2019,115,4448
08/2019,120,11656
08/2019,150,4340
08/2019,154,8323
08/2019,CityLink Blue,242447
08/2019,CityLink Brown,207275
08/2019,CityLink Gold,251214
08/2019,CityLink Green,179961
08/2019,CityLink Lime,149212
08/2019,CityLink Navy,195965
08/2019,CityLink Orange,247367
